lig_name,MW,HeavyAtoms,N+O_Atoms,HBD,HBA,RotatableBonds,NumRings,TPSA,QED,SMILES,MurckoScaffold
HEM,616.499,43,8,2,6,8,6,96.260,0.417,C=CC1=C(C)C2=Cc3c(C)c(CCC(=O)O)c4[n]3[Fe]35<-[N]6=C(C=c7c(C=C)c(C)c([n]73)=CC1=[N]->52)C(C)=C(CCC(=O)O)C6=C4,C1=CC2=[N]3->[Fe]45<-[N]6=C(C=CC6=Cc6ccc([n]64)C=C13)C=c1ccc([n]15)=C2
MGD,740.567,47,23,12,21,9,6,346.630,0.083,Nc1nc2c(c(=O)[nH]1)N[C@H]1C(S)=C(S)[C@@H](CO[P@](=O)(O)O[P@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(N)nc54)[C@H](O)[C@@H]3O)O[C@H]1N2,O=c1[nH]cnc2c1N[C@H]1C=C[C@@H](CO[PH](=O)O[PH](=O)OC[C@@H]3CC[C@H](n4cnc5c(=O)[nH]cnc54)O3)O[C@H]1N2
